greek,russian,english,example,category
εξευτελίζω,унижать,to humiliate,Ο νόμος προστατεύει τους πολίτες από πρακτικές που εξευτελίζουν την ανθρώπινη αξιοπρέπεια.,16 Feb
εξευτελισμός,унижение,humiliation,Ο δημόσιος εξευτελισμός αποτελεί μορφή ψυχολογικής βίας σύμφωνα με ευρωπαϊκή νομοθεσία.,16 Feb
σιωπή,тишина / молчание,silence,Η σιωπή των θεσμών απέναντι στις καταγγελίες προκάλεσε έντονες αντιδράσεις στα μέσα.,6 Jan
σιωπηλός,молчаливый,silent,Η σιωπηλή πλειοψηφία αποφάσισε τελικά να εκφράσει τη δυσαρέσκειά της στις κάλπες.,6 Jan
σιωπηρός,негласный / молчаливый,"discreet, quiet",Η σιωπηρή συμφωνία μεταξύ των δύο πλευρών αποκαλύφθηκε μετά τη δημοσιοποίηση εγγράφων.,6 Jan
τρυφερός,нежный,tender,Ο τρυφερός τρόπος με τον οποίο μίλησε για την οικογένειά του συγκίνησε το κοινό.,21 Nov
τρυφερότητα / τρυφεράδα,нежность,tenderness,Η τρυφερότητα στις ανθρώπινες σχέσεις αποτελεί ένδειξη συναισθηματικής ωριμότητας.,21 Nov
υπερήφανος,гордый,proud,Δήλωσε υπερήφανος για τη συμμετοχή του στην εθελοντική αποστολή βοήθειας στους πληγέντες.,3 Mar
υπερηφανεύομαι,гордиться,to be proud,Δεν αρκεί να υπερηφανευόμαστε για το παρελθόν· χρειάζεται δράση για το μέλλον.,3 Mar
ψυχική ανθεκτικότητα,психическая устойчивость,mental resilience,Η ψυχική ανθεκτικότητα ενισχύεται μέσω κοινωνικών δεσμών και συμβουλευτικής υποστήριξης.,Ιστορία 43
ψυχική ισορροπία,психическое равновесие,mental balance,Η ψυχική ισορροπία των εργαζομένων επηρεάζεται σοβαρά από τις συνθήκες εργασιακής ανασφάλειας.,Ιστορία 39
άγχος,стресс,stress,Το άγχος που βιώνουν οι νέοι εντείνεται λόγω οικονομικής αβεβαιότητας και ανεργίας.,Ιστορία 43
έκρηξη θυμού,вспышка гнева,outburst of anger,Η έκρηξη θυμού στα μέσα κοινωνικής δικτύωσης μετά την ανακοίνωση ήταν πρωτοφανής.,16 Feb
έντονο άγχος,сильная тревога,intense anxiety,Οι εκπαιδευτικοί αντιμετωπίζουν έντονο άγχος εξαιτίας των συνεχών αλλαγών στα αναλυτικά προγράμματα.,Ιστορία 17
αβεβαιότητα,неопределённость,uncertainty,Η αβεβαιότητα για το μέλλον αποτελεί τη βασική πηγή ψυχολογικής πίεσης στους πολίτες.,Ιστορία 38
αδημονώ,нетерпеливо жду,to long for,Οι πολίτες αδημονούν για τα αποτελέσματα των εκλογών που αναμένονται αργά το βράδυ.,9 Dec
αμίλητος,молчаливый,silent,Ο κατηγορούμενος παρέμεινε αμίλητος καθ' όλη τη διάρκεια της ακροαματικής διαδικασίας.,30 May
ανασφάλεια,неуверенность,insecurity,Η ανασφάλεια που νιώθουν οι εργαζόμενοι επηρεάζει αρνητικά την παραγωγικότητά τους.,Ιστορία 39
ανησυχία,беспокойство / тревога,worry / concern,Η ανησυχία των γονέων για τη χρήση διαδικτύου από τα παιδιά αυξάνεται συνεχώς.,Ιστορία 40
αντέχω,выдерживаю,to endure,Οι δημόσιες υποδομές δεν αντέχουν τις ακραίες θερμοκρασίες που πλήττουν τη Μεσόγειο.,9 Dec
Απαιτείται ψύχραιμη προσέγγιση.,Требуется хладнокровный подход.,A calm approach is required.,"Απαιτείται ψύχραιμη προσέγγιση για τη διαχείριση της κρίσης, τόνισε ο εκπρόσωπος.",Фразы уровня Γ2
αποκρουστικός,отвратительный,"disgusting, repulsive",Ο αποκρουστικός τρόπος με τον οποίο αντιμετωπίστηκαν οι πρόσφυγες προκάλεσε αντιδράσεις.,28 May
αποξένωση,отчуждение,alienation,Η αποξένωση των νέων από τους θεσμούς αποτελεί σοβαρό σημάδι κοινωνικής κρίσης.,Ιστορία 26
αποτυχία,неудача,failure,Η αποτυχία του προγράμματος αποδίδεται στην έλλειψη σχεδιασμού και πολιτικής βούλησης.,Ιστορία 38
γαλήνη,безмятежность,serenity,Η γαλήνη που χαρακτήριζε τη μικρή κοινότητα διαταράχθηκε από τις πρόσφατες εξελίξεις.,13 Jan
γενναίος,храбрый,brave,Ο γενναίος πυροσβέστης τιμήθηκε για τη δράση του κατά τις πυρκαγιές του καλοκαιριού.,27 Dec
γκρέμισμα,"снос, разрушение",demolition,Το γκρέμισμα αυθαιρέτων κτισμάτων στον αιγιαλό προκάλεσε αντιδράσεις σε τοπικό επίπεδο.,Γ2 exam
